Apparent Temperature,Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Temperature
7.388888889,0.89,14.1197,251,15.8263,0,1015.13,9.472222222
7.227777778,0.86,14.2646,259,15.8263,0,1015.63,9.355555556
9.377777778,0.89,3.9284,204,14.9569,0,1015.94,9.377777778
5.944444444,0.83,14.1036,269,15.8263,0,1016.41,8.288888889
6.977777778,0.83,11.0446,259,15.8263,0,1016.51,8.755555556
7.111111111,0.85,13.9587,258,14.9569,0,1016.66,9.222222222
5.522222222,0.95,12.3648,259,9.982,0,1016.72,7.733333333
6.527777778,0.89,14.1519,260,9.982,0,1016.84,8.772222222
10.82222222,0.82,11.3183,259,9.982,0,1017.37,10.82222222
13.77222222,0.72,12.5258,279,9.982,0,1017.22,13.77222222
16.01666667,0.67,17.5651,290,11.2056,0,1017.42,16.01666667
17.14444444,0.54,19.7869,316,11.4471,0,1017.74,17.14444444
17.8,0.55,21.9443,281,11.27,0,1017.59,17.8
17.33333333,0.51,20.6885,289,11.27,0,1017.48,17.33333333
18.87777778,0.47,15.3755,262,11.4471,0,1017.17,18.87777778
18.91111111,0.46,10.4006,288,11.27,0,1016.47,18.91111111
15.38888889,0.6,14.4095,251,11.27,0,1016.15,15.38888889
15.55,0.63,11.1573,230,11.4471,0,1016.17,15.55
14.25555556,0.69,8.5169,163,11.2056,0,1015.82,14.25555556
13.14444444,0.7,7.6314,139,11.2056,0,1015.83,13.14444444
11.55,0.77,7.3899,147,11.0285,0,1015.85,11.55
11.18333333,0.76,4.9266,160,9.982,0,1015.77,11.18333333
10.11666667,0.79,6.6493,163,15.8263,0,1015.4,10.11666667
10.2,0.77,3.9284,152,14.9569,0,1015.51,10.2
10.42222222,0.62,16.9855,150,15.8263,0,1014.4,10.42222222
7.566666667,0.66,17.2109,149,15.8263,0,1014.2,9.911111111
11.18333333,0.8,10.8192,163,14.9569,0,1008.71,11.18333333
5.044444444,0.79,11.0768,180,15.8263,0,1014.47,7.155555556
4.816666667,0.82,6.6493,161,15.8263,0,1014.45,6.111111111
4.272222222,0.83,13.0088,135,14.9569,0,1014.49,6.788888889
5.155555556,0.85,11.1734,141,6.1985,0,1014.52,7.261111111
5.527777778,0.83,12.8156,150,8.05,0,1014.16,7.8
7.933333333,0.78,13.7494,160,9.982,0,1014.24,9.872222222
12.22222222,0.72,15.6331,150,9.982,0,1014.25,12.22222222
15.09444444,0.61,17.549,151,9.982,0,1013.96,15.09444444
17.35555556,0.52,22.7815,169,9.982,0,1013.85,17.35555556
